emb 0,emb 1,emb 2,emb 3,emb 4,emb 5,emb 6,emb 7,labels
1.9595731,2.1683757,2.5831058,1.9059492,1.2318965,0.23314285,1.1472615,1.3043647,neutral
1.8029575,1.8784899,2.7245457,1.5890526,1.2316447,0.54351085,1.1051791,1.9387274,neutral
1.8562672,2.0852406,2.6910744,1.6174612,1.2048662,0.625137,1.0325148,1.6540016,neutral
1.7784559,2.1510634,2.6199245,1.7362025,1.1106566,0.39647368,1.2077708,1.4575442,neutral
2.046635,1.9791318,2.6537535,1.6271689,1.129478,0.48038507,1.28306,1.0835733,neutral
2.1585622,2.264112,2.6336389,1.8636559,1.3945847,0.6921259,1.1257445,1.442176,neutral
1.8176563,1.9595811,2.614262,1.4485203,1.1315683,0.5227747,1.1830133,1.4044827,neutral
1.8140576,1.903899,2.8489432,1.4536321,1.3840542,0.6997346,0.9771369,1.5143833,neutral
2.1566267,2.14565,2.7189038,1.6549906,1.0044777,0.33259457,1.2890527,1.6319296,neutral
2.1717288,2.010765,2.6334195,1.8026578,1.6212547,0.5894043,0.9930803,1.3443981,neutral
2.1734872,2.1109154,2.7566588,1.7269214,1.2753357,0.6276784,0.9292621,1.8100817,neutral
2.1325517,2.140669,2.7405164,1.8648752,1.2332484,0.24450757,1.1442796,1.068573,neutral
1.9791417,2.1298647,2.8201358,1.7455652,1.3916105,0.79837704,1.0879874,1.2921736,neutral
2.070084,2.3423858,2.9218745,1.6365205,1.4315047,0.36948672,1.0312043,1.7866794,neutral
2.310189,2.0374308,2.5773456,1.6026275,1.1583701,0.560119,1.1946679,1.4393152,neutral
2.0128736,2.3200605,2.6536574,1.5240703,1.2269009,0.45986888,1.1586584,1.3151513,neutral
1.9002477,1.9693762,2.8259919,1.457981,1.4894949,0.17950489,1.1449509,1.7180777,neutral
1.9283572,2.0845284,2.5426579,1.8113112,0.9968101,0.31081143,1.091515,1.4557602,neutral
2.0337782,2.3716202,2.7835577,1.9552008,1.3464404,0.46781185,1.0876642,1.6565268,neutral
2.1024368,2.044024,2.5715015,1.7077602,1.1935192,0.59708977,1.0460098,1.3576978,neutral
2.0650153,2.0882175,2.3862076,1.7042645,1.5481064,0.2205162,1.3627428,1.7195034,neutral
1.9672136,2.4238024,3.0431223,1.8500496,1.5186526,0.0,1.1305323,1.4198087,neutral
1.8610111,2.073216,2.5521953,1.9013311,0.9180047,0.66096437,1.3563646,1.2517889,neutral
1.9314283,2.0446036,2.5699587,1.3698325,1.3649323,0.3367743,1.2753353,1.5750153,neutral
1.870711,2.334339,2.6271186,1.5930531,1.3973026,0.48923224,1.1893308,1.6052889,neutral
1.9371468,2.055484,2.8077552,1.4663236,1.4656193,0.31234303,1.0528398,1.4599313,neutral
1.7874492,1.859135,2.711016,1.5375513,1.1134764,0.20764777,1.2870668,1.6312395,neutral
1.8598474,2.1626432,2.5752482,1.5113078,1.2289615,0.3243718,1.3087378,1.4987066,neutral
2.1384108,2.122311,2.7422204,1.6394309,1.012308,0.3497413,1.2656672,1.6397179,neutral
1.8014607,2.1296103,2.892758,1.4333835,1.4997308,0.41737536,0.9599571,1.1906466,neutral
2.0128736,2.3200605,2.6536574,1.5240703,1.2269009,0.45986888,1.1586584,1.3151513,neutral
1.7488039,2.188541,2.5473094,1.6493709,1.2081028,0.51525664,1.1119785,1.6134241,neutral
1.9479241,2.1958935,2.8568144,1.4145935,1.3342243,0.24251539,1.1149698,1.7311212,neutral
1.8564663,2.1502473,2.4544125,1.7273968,1.2456977,0.3787114,1.1627891,1.267348,neutral
1.8382347,2.0994678,2.7119188,2.0260231,1.715566,0.3706493,0.8758112,1.4673575,neutral
1.6353887,2.003216,2.8828073,1.4221691,1.3621149,0.34079725,1.1142399,1.4565933,neutral
1.9911848,2.2190144,2.6103933,1.7422123,1.2913384,0.596412,1.1841123,1.1047614,neutral
1.8626857,1.9030843,2.6925964,2.0286386,1.3199234,0.5990618,0.96668166,1.39044,neutral
1.7636735,2.2590268,2.9274988,1.4509282,1.5800042,0.5228793,1.1677252,1.1474681,neutral
1.476993,1.9577315,2.8463147,1.8856529,1.2216657,0.5794243,1.1273304,1.7158217,neutral
1.9751903,2.2203162,2.5337896,1.6689451,1.2559017,0.82419646,1.0461733,1.6715072,neutral
1.9791417,2.1298647,2.8201358,1.7455652,1.3916105,0.79837704,1.0879874,1.2921736,neutral
2.0447567,2.3820972,2.6000059,1.6923628,1.6991086,0.60237646,1.2052066,1.3751559,neutral
1.9048715,2.0340686,2.67234,1.8983579,1.2797345,0.8222887,0.9839788,1.5641084,neutral
1.5435517,2.0505254,2.7384691,1.9301211,1.2404989,0.49155825,1.230315,1.3447611,neutral
2.06224,2.1524744,2.8456235,1.6586092,1.3693998,0.13348371,1.1531196,1.4961847,neutral
1.5182351,2.0425606,2.5685222,1.6507968,1.307934,0.30584612,1.1963938,1.4302464,neutral
2.1499608,1.9486369,2.5624714,1.6083316,1.2212809,0.23762651,1.2208686,1.2935257,neutral
2.08213,2.0474222,2.8503976,1.8654088,1.1132267,0.4029685,1.1605062,1.1647193,neutral
1.7228491,2.0603566,2.6438348,1.6103694,1.20269,0.37979186,1.1421657,1.4765311,neutral
1.8818533,2.2652066,2.6088784,1.8947028,1.5670675,0.19535694,1.1135151,1.6377625,neutral
1.72454,2.3388553,2.8491073,1.5907096,1.3364774,0.43022656,1.0707947,1.3444746,neutral
2.0314074,2.2642386,2.9008296,1.9184451,1.1073353,0.47669986,1.0877897,1.4113524,neutral
1.8865228,2.1858401,2.9458122,1.7590995,1.3849329,0.22124732,1.0333463,1.425938,neutral
1.911598,2.2585588,2.7737577,1.8445716,0.9779057,0.55071026,1.2636471,1.4595374,neutral
1.5554994,2.257062,2.8060253,1.908981,1.4808896,0.37032142,1.0233911,1.3916606,neutral
1.6958477,2.1334205,2.6237047,1.651083,1.4922036,0.52195305,1.0280733,1.5038319,neutral
1.8930957,2.2921064,2.7712994,1.6511539,1.2541819,0.3599649,1.0837889,1.5695852,neutral
1.838736,2.2029588,2.557524,1.6177361,1.3714281,0.28185838,1.1973175,1.6059153,neutral
1.7196482,2.1602814,2.575671,1.7655017,1.4026539,0.36406323,1.0933096,1.3870783,neutral
2.0004768,2.1147463,2.474344,1.4941957,1.25841,0.44614494,1.1963663,1.5214043,neutral
1.717956,1.7672683,2.6193228,1.5418241,1.1503783,0.4127047,1.1820186,1.5753298,neutral
2.0521927,2.143529,2.4609962,1.7503172,1.3479733,0.33093885,1.1506263,1.0387826,neutral
1.6788616,2.0943942,2.6619897,1.58144,1.3832831,0.5718913,1.0484437,1.7182066,neutral
1.7397465,2.188699,2.7521312,2.0288024,1.237384,0.5427395,1.0885929,1.408332,neutral
2.0138714,1.9653087,2.7571347,1.5989721,1.0684345,0.27963805,1.1851859,1.4621896,neutral
1.7488039,2.188541,2.5473094,1.6493709,1.2081028,0.51525664,1.1119785,1.6134241,neutral
2.0337782,2.3716202,2.7835577,1.9552008,1.3464404,0.46781185,1.0876642,1.6565268,neutral
2.0580478,1.9537886,2.5320036,1.6514496,1.2191108,0.5949868,1.0656493,1.3640261,neutral
1.8869194,2.4289339,3.1415927,1.7664143,1.2595539,0.120632626,1.2112707,1.2423311,neutral
2.070122,2.1025684,3.1008775,1.5636523,1.3342159,0.17189133,1.0552205,1.6776654,neutral
1.8588642,2.073116,2.7777102,1.659585,1.2868912,0.3714211,1.0802975,1.1779319,neutral
1.8596699,2.4046252,2.794687,1.8474152,1.78362,0.53132206,1.0783441,1.4107976,neutral
1.7700015,2.2459996,2.8989425,1.3937466,1.3901025,0.69521374,1.2135427,1.5065001,neutral
1.8403531,2.0645874,2.587179,1.8173048,1.0632226,0.660705,1.295002,1.162772,neutral
